"champ";"statut";"annee";"periode";"date du resultat";"ipe";exofj;fj;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";A: FJ à la charge de l'assuré;FJ à la charge de l'assuré;235;58.024691358;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";R: FJ à la charge de AMO;exonération du FJ;2;0.4938271605;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";FJ non applicable;FJ non applicable;167;41.234567901;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";Séjours en attente de taux de prise en charge;FJ à la charge de l'assuré;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";A: FJ à la charge de l'assuré;FJ à la charge de l'assuré;1069;22.224532225;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";L: FJ à la charge du régime Als-Mos;exonération du FJ;1;0.0207900208;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";R: FJ à la charge de AMO;exonération du FJ;5;0.103950104;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";FJ non applicable;FJ non applicable;3735;77.650727651;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";A: FJ à la charge de l'assuré;FJ à la charge de l'assuré;393;66.610169492;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";L: FJ à la charge du régime Als-Mos;FJ à la charge de l'assuré;1;0.1694915254;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";R: FJ à la charge de AMO;exonération du FJ;5;0.8474576271;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";FJ non applicable;FJ non applicable;190;32.203389831;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";Séjours en attente de taux de prise en charge;FJ à la charge de l'assuré;1;0.1694915254;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";A: FJ à la charge de l'assuré;FJ à la charge de l'assuré;550;56.468172485;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";R: FJ à la charge de AMO;exonération du FJ;6;0.6160164271;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";FJ non applicable;FJ non applicable;418;42.915811088;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:18";="590049565";A: FJ à la charge de l'assuré;FJ à la charge de l'assuré;155;98.101265823;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:18";="590049565";FJ non applicable;FJ non applicable;3;1.8987341772;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";A: FJ à la charge de l'assuré;FJ à la charge de l'assuré;4536;29.258853125;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";L: FJ à la charge du régime Als-Mos;FJ à la charge de l'assuré;3;0.0193510933;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";R: FJ à la charge de AMO;exonération du FJ;628;4.0508288718;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";FJ non applicable;FJ non applicable;9889;63.787654002;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;exonération du FJ;446;2.8768625427;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;FJ non applicable;1;0.0064503644;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";A: FJ à la charge de l'assuré;FJ à la charge de l'assuré;2751;21.254732288;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";L: FJ à la charge du régime Als-Mos;FJ à la charge de l'assuré;5;0.0386309202;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";R: FJ à la charge de AMO;exonération du FJ;23;0.1777022329;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";FJ non applicable;FJ non applicable;10164;78.528934559;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:51";="620101337";A: FJ à la charge de l'assuré;FJ à la charge de l'assuré;6696;40.206556983;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:51";="620101337";L: FJ à la charge du régime Als-Mos;FJ à la charge de l'assuré;8;0.0480365077;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:51";="620101337";R: FJ à la charge de AMO;exonération du FJ;1319;7.9200192146;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:51";="620101337";FJ non applicable;FJ non applicable;7415;44.523838117;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:51";="620101337";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;exonération du FJ;1209;7.2595172331;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:51";="620101337";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;FJ non applicable;4;0.0240182539;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:51";="620101337";Séjours en attente de taux de prise en charge;FJ à la charge de l'assuré;3;0.0180136904;2023.7;X620101337;25AUG23;12:05:23
