"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;diag_ct;ponder;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;pct_dp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:22";="800000036";Z04    EX. ET OBS. POUR D'AUTRES RAISONS;0;Z04;1;1;0;0;0;26;26;100;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:17";="600100168";D63    ANEMIE AVEC MAL. CHRON. CL. AILL.;0;D63;1;2;0;0;0;87;87;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:17";="600100168";I50    INSUF. CARD.;0;I50;1;20;0;0;0;85;85;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:17";="600100168";J46    ETAT DE MAL ASTHMATIQUE;0;J46;1;7;0;0;0;74;74;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";I48    FIBRILLATION ET FLUTTER AURICULAIRES;0;I48;1;11;0;0;0;95;95;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";I50    INSUF. CARD.;0;I50;1;13;0;0;0;88;88;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";J15    PNEUMOPATHIES BACT., NCA;0;J15;1;29;0;0;0;80;80;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";R07    DOULEUR NIV. GORGE ET THOR.;0;R07;1;0;0;0;0;32;32;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";Z04    EX. ET OBS. POUR D'AUTRES RAISONS;0;Z04;1;1;0;0;0;42;42;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:06";="590782439";R53    MALAISE ET FATIGUE;0;R53;1;6;0;0;0;71;71;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:06";="590782439";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;1;0;0;0;0;66;66;100;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/24 14:38:45";="020000253";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;3;13.666666667;0;0;0;82.666666667;83;66.666666667;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:45";="020000253";D64    ANEMIES, NCA;0;D64;1;1;0;0;0;81;81;100;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:45";="020000253";R41    SYMPT. ET SIGNES RELAT. AUX FCT. COGNITIVES ET A LA CONSCIENCE, NCA;0;R41;1;3;0;0;0;78;78;100;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:45";="020000253";R63    SYMPT. ET SIGNES RELAT. A L'ABSORPTION D'ALIMENTS ET DE LIQUIDES;0;R63;1;8;0;0;0;77;77;100;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";J12    PNEUMOPATHIES VIRALES, NCA;0;J12;2;5;0;50;0;56.5;56.5;100;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";A40    SEPSIS A STREPTO.;0;A40;1;19;0;0;0;71;71;100;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";E43    MALNUTRITION PROTEINO-ENERGETIQUE GRAVE, SAI;0;E43;1;8;0;0;0;75;75;100;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";G04    ENCEPHALITE, MYELITE;0;G04;1;2;0;0;0;57;57;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";I48    FIBRILLATION ET FLUTTER AURICULAIRES;0;I48;1;2;0;0;0;66;66;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";J02    PHARYNGITE AIG.;0;J02;1;1;0;0;0;30;30;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";J14    PNEUMOPATHIE DUE A HAEMOPHILUS INFLUENZAE;0;J14;1;16;100;0;0;64;64;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;1;2;0;0;0;21;21;100;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";J96    INSUF. RESP., NCA;0;J96;1;22;0;0;0;76;76;100;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";K20    OESOPHAGITE;0;K20;1;0;0;0;0;53;53;100;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";N10    NEPHRITE TUBULO-INTERST. AIG.;0;N10;1;5;0;0;0;90;90;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";R50    FIEVRE, NCA OU SAI;0;R50;1;5;0;0;100;1;1;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";U07    CODES POUR USAGE URGENT;0;U07;1;76;100;100;100;55;55;100;100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/28 12:10:12";="590782645";Z51    SOINS MED., NCA;0;Z51;1;3;0;0;0;92;92;100;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 15:44:41";="020004495";M25    AFF. ARTIC., NCA;0;M25;1;0;0;0;0;51;51;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:28:43";="590782652";I26    EMBOLIE PULM.;0;I26;2;7.5;0;0;0;75;75;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:43";="590782652";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;2;3;0;0;0;79.5;79.5;50;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:43";="590782652";A09    AUTRES GASTROENTERITES COLITES INFECT. OU S.A.I;0;A09;1;9;0;0;0;63;63;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:47";="600100648";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;2;7.5;0;0;0;83;83;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:47";="600100648";A09    AUTRES GASTROENTERITES COLITES INFECT. OU S.A.I;0;A09;1;4;0;0;0;85;85;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:47";="600100648";E86    HYPOVOLEMIE;0;E86;1;1;0;0;0;79;79;100;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";F07    TBL. DE LA PERSON. DUS A UNE AFF., UNE LES. ET UN DYSFCT. CEREB.;0;F07;1;21;0;0;0;72;72;100;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;1;3;0;0;0;46;46;100;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:28";="620003350";E87    DESEQUILIBRES HYDRO-ELECTROLYTIQUES ET ACIDO-BASIQUES, NCA;0;E87;1;5;0;0;0;70;70;0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:28";="620003350";I42    MYOCARDIOPATHIE;0;I42;1;17;0;0;0;90;90;0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:28";="620003350";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;1;19;0;0;0;89;89;100;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:28";="620003350";R53    MALAISE ET FATIGUE;0;R53;1;4;0;0;100;80;80;100;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:28";="620003350";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;1;0;0;0;0;65;65;100;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";G25    SYND. EXTRAPYRAMIDAUX ET TBL. DE LA MOTRICITE, NCA;0;G25;1;14;0;0;0;71;71;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";I11    CARDIOPATHIE HYPERTENSIVE;0;I11;1;27;0;0;0;94;94;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";I50    INSUF. CARD.;0;I50;1;34;0;0;0;78;78;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;1;4;0;0;0;61;61;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";J44    MAL. PULM. OBSTRU. CHRON., NCA;0;J44;1;7;0;0;0;66;66;100;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";J96    INSUF. RESP., NCA;0;J96;1;6;0;0;0;93;93;100;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";K58    SYND. DE L'INTESTIN IRRITABLE;0;K58;1;0;0;0;0;25;25;100;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:46";="590781670";J10    GRIPPE, A AUTRE VIRUS GRIPPAL SAISONNIER IDENTIFIÉ;0;J10;1;19;0;0;0;86;86;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:46";="590781670";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;1;0;0;0;0;76;76;100;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:01";="020000261";Z51    SOINS MED., NCA;0;Z51;1;23;0;0;0;88;88;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;12;0;0;0;0;70.833333333;74;83.333333333;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";J84    AFF. PULM. INTERST., NCA;0;J84;2;1.5;0;0;0;68;68;100;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";Z04    EX. ET OBS. POUR D'AUTRES RAISONS;0;Z04;2;0;0;0;0;73;73;50;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";J15    PNEUMOPATHIES BACT., NCA;0;J15;1;9;0;0;0;70;70;100;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;1;22;0;0;0;78;78;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";K56    ILEUS PARALYTIQUE ET OCCLUSION INTEST. SANS HERNIE;0;K56;1;31;0;0;0;85;85;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";R05    TOUX;0;R05;1;0;0;0;0;74;74;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";R06    ANOM. DE LA RESPIRATION;0;R06;1;0;0;0;0;78;78;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";Z51    SOINS MED., NCA;0;Z51;1;1;0;0;0;89;89;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:35:54";="590780284";I26    EMBOLIE PULM.;0;I26;1;7;0;0;0;81;81;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:54";="590780284";M45    SPONDYLARTHRITE ANKYLOSANTE;0;M45;1;7;0;0;0;65;65;100;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:54";="590780284";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;1;0;0;0;0;63;63;100;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:58";="020000287";I50    INSUF. CARD.;0;I50;1;14;0;0;100;87;87;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:58";="020000287";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;1;8;0;0;0;89;89;100;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:58";="020000287";J20    BRONCHITE AIG.;0;J20;1;5;0;0;0;71;71;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:01";="590797353";U07    CODES POUR USAGE URGENT;0;U07;2;8;0;0;100;81;81;50;100;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:01";="590797353";J12    PNEUMOPATHIES VIRALES, NCA;0;J12;1;1;0;0;0;55;55;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:01";="590797353";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;1;33;0;0;0;66;66;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:01";="590797353";J45    ASTHME;0;J45;1;4;0;0;100;46;46;100;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:01";="590797353";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;1;0;0;0;0;77;77;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";Z04    EX. ET OBS. POUR D'AUTRES RAISONS;0;Z04;2;1;0;0;0;44;44;50;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;2;0.5;0;0;0;66;66;50;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";E86    HYPOVOLEMIE;0;E86;1;5;0;0;0;91;91;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";F05    DELIRIUM, NON INDUIT PAR L'ALCCOL ET D'AUTRES SUBST. PSYCHO-ACTIVES;0;F05;1;14;0;0;0;86;86;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";G98    AFF. DU SYST. NERV., NCA;0;G98;1;1;0;0;0;91;91;100;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";J20    BRONCHITE AIG.;0;J20;1;9;0;0;0;76;76;100;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";J21    BRONCHIOLITE AIG.;0;J21;1;4;0;0;0;22;22;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";J44    MAL. PULM. OBSTRU. CHRON., NCA;0;J44;1;9;0;0;0;73;73;100;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";J84    AFF. PULM. INTERST., NCA;0;J84;1;36;100;0;100;65;65;100;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";K56    ILEUS PARALYTIQUE ET OCCLUSION INTEST. SANS HERNIE;0;K56;1;4;0;0;0;93;93;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";M54    DORSALGIES;0;M54;1;19;0;0;0;81;81;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:58";="800000051";R26    ANOM. DE LA DEMARCHE ET DE LA MOTILITE;0;R26;1;6;0;0;0;79;79;100;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:18";="800000135";Z51    SOINS MED., NCA;0;Z51;1;55;0;0;0;74;74;100;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";J96    INSUF. RESP., NCA;0;J96;3;25.666666667;0;0;33.333333333;86;89;66.666666667;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";R00    ANOM. DU RYTHME CARD.;0;R00;1;0;0;0;0;84;84;0;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";R06    ANOM. DE LA RESPIRATION;0;R06;1;3;0;0;0;89;89;0;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";R07    DOULEUR NIV. GORGE ET THOR.;0;R07;1;0;0;0;0;35;35;0;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";R53    MALAISE ET FATIGUE;0;R53;1;6;0;0;0;91;91;0;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";Z04    EX. ET OBS. POUR D'AUTRES RAISONS;0;Z04;1;0;0;0;0;58;58;100;0;2023.7;X590782165;30AUG23;14:10:49
