"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;nbatu_tot;nbatu_ssact;nb_db;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 13:23:05";="590065223";ATU;;;;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 14:03:35";="590000600";ATU;;;;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";ATU;;;;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";ATU;;;;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 15:41:12";="590001749";ATU;;;;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:58:09";="620025346";ATU;;;;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 16:28:02";="620100651";ATU;1443;0;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 08:07:09";="600100713";ATU;4829;9;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 09:19:01";="590780284";ATU;;;;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 10:38:10";="590780052";ATU;;;;2023.7;X590780052;30AUG23;10:38:03
"mco";"dgf";"2023";"7";"2023/08/30 10:39:22";="590797353";ATU;4525;268;0;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 14:08:14";="620101360";ATU;1414;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:17:38";="590782165";ATU;1027;7;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 15:22:51";="590052056";ATU;;;;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/30 15:54:15";="620100685";ATU;3767;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 16:30:15";="620103440";ATU;1247;0;0;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 17:55:19";="600100721";ATU;3140;78;0;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 21:29:27";="590000188";ATU;;;;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/31 09:35:18";="590783239";ATU;118;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:32";="590782215";ATU;3091;1;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 10:47:46";="020000071";ATU;;;;2023.7;X020000071;31AUG23;10:47:41
"mco";"dgf";"2023";"7";"2023/08/31 10:50:07";="590781415";ATU;1708;49;0;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 11:34:03";="620100677";ATU;;;;2023.7;X620100677;31AUG23;11:33:55
"mco";"dgf";"2023";"7";"2023/08/31 11:54:08";="590781621";ATU;4;0;0;2023.7;X590781621;31AUG23;11:54:00
"mco";"dgf";"2023";"7";"2023/08/31 12:34:09";="020004404";ATU;758;0;0;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 14:01:49";="800000135";ATU;;;;2023.7;X800000135;31AUG23;14:01:43
"mco";"dgf";"2023";"7";"2023/08/31 14:16:50";="590781795";ATU;;;;2023.7;X590781795;31AUG23;14:16:44
"mco";"dgf";"2023";"7";"2023/08/31 14:29:31";="590781811";ATU;;;;2023.7;X590781811;31AUG23;14:29:25
"mco";"dgf";"2023";"7";"2023/08/31 14:50:01";="800000093";ATU;287;0;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 18:57:41";="800000069";ATU;1;0;0;2023.7;X800000069;31AUG23;18:57:32
"mco";"dgf";"2023";"7";"2023/09/01 10:58:23";="800000085";ATU;;;;2023.7;X800000085;01SEP23;10:58:10
"mco";"dgf";"2023";"7";"2023/09/01 13:04:21";="590782637";ATU;603;0;0;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:09:15";="620100057";ATU;1332;5;3;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 15:20:13";="800000028";ATU;942;4;0;2023.7;X800000028;01SEP23;15:19:59
"mco";"dgf";"2023";"7";"2023/09/01 17:22:38";="600101984";ATU;3524;3;0;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/04 11:00:11";="800000044";ATU;3426;214;0;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 16:02:53";="620103432";ATU;554;0;0;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/05 10:29:56";="590781803";ATU;1522;19;0;2023.7;X590781803;05SEP23;10:29:44
"mco";"dgf";"2023";"7";"2023/09/05 14:40:05";="590780193";ATU;6207;3;0;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/07 20:06:54";="590781902";ATU;2244;40;0;2023.7;X590781902;07SEP23;20:06:41
