finess;vide...2;finess_rs;vide...4;rs;statut;hprox;label_statut;valo_2022;valo_2023;vide...11;LAST_YEAR_Valo;YEAR_Valo;evolution;vide...15;vol_sej_hors_GHSi_22;vol_sej_hors_GHSi_23;vide...18;Nb_sej_2023_M8;Nb_sej_2024_M8;Evolution_vol_sej;vide...22;regul_ass_mal_23;vide...24;Mnt_ref_23
590780193;;590780193-CH Régional Universitaire de LILLE;;CHU de LILLE;DGF;0;DGF;-0,07851884799008163;-0,04504625622407908;;345534923,38000;361814767,04000;4.7%(5.2%);;-0,077129997538591399;-0,05204121101304550;;111163;114252;0,02778802299326215;;17893669,4299999475;;567469687,00000
800000044;;800000044-CH Universitaire d'Amiens;;CHU d'Amiens;DGF;0;DGF;-0,03212808982752891;-0,03310404655544579;;182287656,65000;206822025,42000;13.5%(5.2%);;-0,046841513231898703;-0,04185661002900950;;49330;53674;0,08806000405432800;;7563325,0999999642;;326387595,00000
590782215;;590782215-CH de VALENCIENNES;;CH de VALENCIENNES;DGF;0;DGF;-0,09808195358045867;-0,03032500940628071;;148118614,47000;155871394,26000;5.2%(5.2%);;-0,068973128069304196;0,01187717265353420;;48609;51269;0,05472237651463720;;5051594,1100000143;;237973974,00000
590782421;;590782421-CH de ROUBAIX;;CH de ROUBAIX;DGF;0;DGF;-0,05168975959247197;-0,04461269263986960;;82631333,65500;91031343,20700;10.2%(5.2%);;-0,083695394580930602;-0,06777786555020140;;31928;32588;0,02067151089952393;;4204212,1200000048;;134625753,00000
620100685;;620100685-CH de LENS;;CH de LENS;DGF;0;DGF;0,01512004721501799;0,05197327310892132;;83317603,02100;88731308,87700;6.5%(5.2%);;0,067088145896656501;0,11754407294832800;;31269;33366;0,06706322555886021;;NA;;125348062,00000
020000063;;020000063-CH de Saint Quentin;;CH de Saint Quentin;DGF;0;DGF;0,02206293523933625;0,04817152297427449;;81069069,13500;86238129,97100;6.4%(5.2%);;-0,000299376752034401;0,01066869879977140;;24425;25923;0,06133060388945753;;NA;;119956432,00000
620103440;;620103440-CH de  BOULOGNE;;CH de  BOULOGNE;DGF;0;DGF;-0,03150763268685560;-0,02892221642797481;;69678174,05300;75319387,35900;8.1%(5.2%);;-0,056135027498577697;0,01365446614830270;;24551;24654;0,00419534845831127;;2336023,9899999946;;115384557,00000
590781415;;590781415-CH de DUNKERQUE;;CH de DUNKERQUE;DGF;0;DGF;-0,02540202812555425;-0,05150885816023396;;68742687,37800;75861066,77800;10.4%(9.8%);;-0,025346637294285299;-0,02656472722560580;;24966;26700;0,06945445806296563;;4122604,7699999958;;114338302,00000
620100057;;620100057-CH d'ARRAS;;CH d'ARRAS;DGF;0;DGF;-0,03109569104586113;-0,05956010338187166;;55318110,06300;64080596,30200;15.8%(5.1%);;-0,093613868721292001;-0,02169210253370870;;20841;23439;0,12465812580970204;;4261693,1019999981;;102218308,00000
600101984;;600101984-Groupement Hospitalier Public du Sud de l'Oise;;Groupement Hospitalier Public du Sud de l'Oise;DGF;0;DGF;-0,10578797892339943;-0,08573133712134962;;59722310,92200;63370786,10100;6.1%(5.2%);;-0,184859662267303992;-0,15500547518874999;;19417;21365;0,10032445794921975;;6048294,2049999982;;100784854,00000
