"champ";"statut";"annee";"periode";"date du resultat";"ipe";natass;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";10 : Maladie;402;99.259259259;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";30 : Maternité;2;0.4938271605;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";Séjours en attente de taux de prise en charge;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";10 : Maladie;4819;99.875647668;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";41 : Accident du;6;0.1243523316;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";10 : Maladie;588;99.324324324;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";13 : Maladie Régime Local Alsace-Moselle;1;0.1689189189;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";XX: séjours non facturables, en attente de droits ou pb de codage;2;0.3378378378;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";Séjours en attente de taux de prise en charge;1;0.1689189189;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";10 : Maladie;973;97.592778335;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";41 : Accident du;1;0.1003009027;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";XX: séjours non facturables, en attente de droits ou pb de codage;23;2.3069207623;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:48";="590049565";10 : Maladie;158;100;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";10 : Maladie;14875;93.712593713;2023.7;X020000253;24AUG23;14:38:01
