"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;eff;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:40";="800000036";Nombre de mort-nés (DP=P95);0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:40";="800000036";Dont âge en jour différent de 0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:40";="800000036";Dont durée de séjour différente de 0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:40";="800000036";Dont mode de sortie différent de 9;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:40";="800000036";Dont mode d'entrée différent de 8;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:40";="800000036";Dont poids d'entrée manquant;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:40";="800000036";Dont âge gestationnel manquant;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:40";="800000036";Dont séjours classés en erreur (CM90);0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:40";="800000036";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:29";="600100168";Nombre de mort-nés (DP=P95);0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:29";="600100168";Dont âge en jour différent de 0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:29";="600100168";Dont durée de séjour différente de 0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:29";="600100168";Dont mode de sortie différent de 9;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:29";="600100168";Dont mode d'entrée différent de 8;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:29";="600100168";Dont poids d'entrée manquant;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:29";="600100168";Dont âge gestationnel manquant;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:29";="600100168";Dont séjours classés en erreur (CM90);0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:29";="600100168";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:27";="020000022";Nombre de mort-nés (DP=P95);0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:27";="020000022";Dont âge en jour différent de 0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:27";="020000022";Dont durée de séjour différente de 0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:27";="020000022";Dont mode de sortie différent de 9;0;2023.7;X020000022;18AUG23;15:14:25
