"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;racine;ponder;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:48";="020000253";18M04 Fièvres d'étiologie indéterminée, âge supérieur à 17 ans;0;18M04;1;2;0;0;0;45;45;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:06:09";="620101337";23M20 Autres symptômes et motifs de recours aux soins de la CMD 23;0;23M20;1;0;0;0;0;44;44;100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 16:14:01";="620100651";04M11 Signes et symptômes respiratoires;0;04M11;1;1;0;0;0;95;95;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:01";="620100651";06C24 Cures d'éventrations postopératoires, âge supérieur à 17 ans;0;06C24;1;8;0;0;0;67;67;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/31 11:48:37";="590780193";08C21 Autres interventions portant sur l'appareil musculosquelettique et le tissu conjonctif;0;08C21;1;3;100;100;0;50;50;100;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:37";="590780193";19M06 Troubles mentaux d'origine organique et retards mentaux, âge supérieur à 79 ans;0;19M06;1;20;0;0;0;91;91;100;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:37";="590780193";23M21 Désensibilisations et tests allergologiques nécessitant une hospitalisation;0;23M21;1;0;0;0;0;62;62;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 14:34:02";="800000093";06M03 Autres gastroentérites et maladies diverses du tube digestif, âge supérieur à 17 ans;0;06M03;1;18;0;0;0;81;81;0;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/09/01 09:19:00";="600100721";01M32 Explorations et surveillance pour affections du système nerveux;0;01M32;1;0;0;0;0;66;66;0;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/05 17:45:13";="800000044";05M17 Autres affections de l'appareil circulatoire;0;05M17;1;5;0;0;0;30;30;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:13";="800000044";23M20 Autres symptômes et motifs de recours aux soins de la CMD 23;0;23M20;1;0;0;0;0;77;77;0;2023.7;X800000044;05SEP23;17:44:11
