"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib_tab;ref_tab;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Synthèse des erreurs de groupage;[1.Q.1.EG];3;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Pourcentage de séjours en erreur;[1.Q.1.NSE];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Répartition des différences de groupage;[1.Q.1.RDG];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Analyse des séjours non programmés hors périmètre;[1.Q.2.ADNP];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec utilisation du mode d'entrée 8/5 et absence service urgences;[1.Q.2.MEURG];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec mutation et absence d'unité correspondante;[1.Q.2.MSU];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Codes géographiques erronés ou imprécis;[1.Q.3.CGI];2;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec DP incohérent avec un acte de prise en charge de cancérologie;[1.Q.5.DPCAN];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un code imprécis en DP;[1.Q.5.DPI];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un acte requérent un code Z en diagnostic principal et ayant pourtant un code non Z en diagnostic principal;[1.Q.5.DPNZ];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un code Z en DP pour une affection chronique et sans DR;[1.Q.5.DPZAC];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un code Z en DP et un mode de sortie décès;[1.Q.5.DPZDC];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un code Z en DP et une durée de séjour > 15 jours;[1.Q.5.DPZSL];2;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un code d'affection aigüe en DR;[1.Q.5.DRAA];1;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un DR pour un DP non Z;[1.Q.5.DRDPNZ];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un GHM de brûlure sans cause en DAS;[1.Q.5.GBSDA];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec une incompatibilité âge / diagnostic;[1.Q.5.IAD];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours de la racine 23C02 avec incompatibilité DP/acte;[1.Q.5.IDA23C02];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec une incompatibilité sexe / diagnostic;[1.Q.5.ISD];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un DP surveillance et traitement de tumeurs et un DR non renseigné ou différent de cancer;[1.Q.5.KIDPDR];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours sans nuitée avec un acte atypique pour un séjour sans nuitée;[1.Q.6.AASSN];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un acte sur brûlure et absence de code diagnostic de brûlure;[1.Q.6.ABSD];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec actes chirurgicaux en doublons;[1.Q.6.ACD];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec un codage imprécis d'une complication après un acte à visée diagnostique ou thérapeutique;[1.Q.6.CCIA];0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:42";="800000036";Nombre de séjours avec diagnostic principal requérant un acte et sans acte;[1.Q.6.DPSA];3;2023.7;X800000036;08AUG23;14:40:54
