"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;mnt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours transmis;405;1267014.868;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours en CM 90;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours en prestation inter-établissement;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours en GHS 9999;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours avec pb de chainage (hors NN, rdth et PO);0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours avec pb de codage des variables bloquantes;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours en attente de décision sur les droits du patient;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours non facturable à l'AM hors PO;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours avec PO sur patient arrivé décédé ou avec PO non facturables à l'AM;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Montant lié à la suppression des SI/SC en cas de limitation;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours valorisés;405;1267014.868;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Dont séjours en attente de taux de prise en charge;1;582.226047;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours transmis;4825;6246776.6709;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours en CM 90;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours en prestation inter-établissement;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours en GHS 9999;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours avec pb de chainage (hors NN, rdth et PO);0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours avec pb de codage des variables bloquantes;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours en attente de décision sur les droits du patient;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours non facturable à l'AM hors PO;15;20517.731265;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours avec PO sur patient arrivé décédé ou avec PO non facturables à l'AM;0;0;2023.7;X600100168;11AUG23;8:30:51
