"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;nba;nbbc;nbac;nbb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours transmis;227627;227627;227616;227627;227616;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours en CM 90;0;0;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours en prestation inter-établissement;1512;1512;1508;1512;1508;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours en GHS 9999;1332;1332;1332;1332;1332;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours avec pb de chainage (hors NN, rdth et PO);25;25;25;25;25;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours avec pb de codage des variables bloquantes;0;0;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours en attente de décision sur les droits du patient;4;4;4;4;4;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours non facturable à l'AM hors PO;4819;4819;4818;4819;4818;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours avec PO sur patient arrivé décédé ou avec PO non facturables à l'AM;1;1;1;1;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Dont Séjours en AME;868;868;868;868;868;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Dont Séjours en Soins Urgents;218;218;218;218;218;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:45";="590780193";Séjours valorisés;219934;219934;219928;219934;219928;2023.7;X590780193;05SEP23;14:08:27
