"champ";"statut";"annee";"periode";"date du resultat";"ipe";gdreg;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";01 Régime général;347;85.679012346;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";02 Régime agricole;35;8.6419753086;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";04 SNCF;7;1.7283950617;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";05 RATP;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";08 Militaires de carrière;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";91 Mutuelle Générale de l'Education Nationale (MGEN);12;2.962962963;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";99 Autres mutuelles;2;0.4938271605;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";01 Régime général;4317;89.471502591;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";02 Régime agricole;151;3.1295336788;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";04 SNCF;65;1.3471502591;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";05 RATP;30;0.621761658;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";08 Militaires de carrière;14;0.2901554404;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";10 Clercs et employés de notaire;7;0.1450777202;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";14 Assemblée Nationale;1;0.0207253886;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";15 Caisses Autonomes de Sécurité Sociale du Sénat;1;0.0207253886;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";90 Caisse d'Assurance Maladie des cultes;1;0.0207253886;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";91 Mutuelle Générale de l'Education Nationale (MGEN);161;3.3367875648;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";93 Mutuelle Générale de la Police (MGP);11;0.2279792746;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";99 Autres mutuelles;64;1.3264248705;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";AP;1;0.0207253886;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";GR;1;0.0207253886;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:44";="020000022";01 Régime général;474;80.067567568;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:44";="020000022";02 Régime agricole;87;14.695945946;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:44";="020000022";04 SNCF;4;0.6756756757;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:44";="020000022";08 Militaires de carrière;5;0.8445945946;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:44";="020000022";91 Mutuelle Générale de l'Education Nationale (MGEN);13;2.1959459459;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:44";="020000022";93 Mutuelle Générale de la Police (MGP);2;0.3378378378;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:44";="020000022";99 Autres mutuelles;5;0.8445945946;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:44";="020000022";XX;2;0.3378378378;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:52";="590782439";01 Régime général;955;95.787362086;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:52";="590782439";02 Régime agricole;5;0.5015045135;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:52";="590782439";04 SNCF;4;0.4012036108;2023.7;X590782439;22AUG23;19:09:40
