"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;acte2;nb_occur;ponder;ponder_cn;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;pct_dp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:20";="800000036";ZBQK002 RX THOR.;0;ZBQK002;4;4;4;9.75;0;0;0;83.5;84;25;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:20";="800000036";EJQM003 DOPPLER VN MB INF. +VN ILIAQUES PR RECH. THROMBOSE VN PROF.;0;EJQM003;1;1;1;35;0;0;0;97;97;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:20";="800000036";NAQK015 RX BASSIN SELON 1INCIDENCE;0;NAQK015;1;1;1;8;0;0;0;95;95;0;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:20";="800000036";NEQK010 RX HANCHE SELON 1/2INCIDENCES;0;NEQK010;1;1;1;8;0;0;0;95;95;0;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";DZQM006 DOPPLER COEUR +DES VSSX INTRATHOR.;0;DZQM006;1;1;1;13;0;0;0;90;90;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";EPLF002 POSE 1CATHÉ CTR TRANSCUT.;0;EPLF002;1;1;1;54;0;0;0;73;73;100;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";FELF011 TRANSFU. CG 1<1/2MASSE;0;FELF011;1;1;1;6;0;0;0;52;52;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";HFCB001 GASTROSTOMIE TRANSCUT. +GUID ENDOS.;0;HFCB001;1;1;1;54;0;0;0;73;73;100;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";HSLD001 ALIMT ENTÉR. SONDE 20-35CAL/KG/J/24H;0;HSLD001;1;1;1;54;0;0;0;73;73;100;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";JCKE002 CHANGT 1ENDOPROTH. URÉTÉRALE ENDOS. RÉTROGRADE;0;JCKE002;1;1;1;2;0;0;0;77;77;100;0;2023.7;X600100168;11AUG23;8:30:51
