"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;nb;noligne;nb1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;87;1;92;-5.434782609;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de prise en charge;755;2;821;-8.038976857;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge en EHPAD;755;3;821;-8.038976857;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge en EMS hors EHPAD;0;4;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge en ES;0;5;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge en SSIAD/SPASAD;0;6;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de séquences terminées dans la période;56;7;78;-28.20512821;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de séquences non terminées dans la période;1;8;1;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de séjours terminés dans la période;46;9;62;-25.80645161;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de séjours non terminés dans la période;1;10;1;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de patients (1);42;11;58;-27.5862069;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb moyen de modes de prise en charge associés;1;12;1;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb moyen de diagnostics (DCMPP, DCMPA, DA);3.1034482759;13;2.6195652174;18.47188439;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Durée moyenne des sous-séquences;8.6781609195;14;8.9239130435;-2.753860585;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Durée moyenne des séquences terminées;13.5;15;11.320512821;19.252548131;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Durée moyenne des séjours terminés;16.673913043;16;15.14516129;10.093994536;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb moyen de séjours par patient (1);1.119047619;17;1.0862068966;3.0234315949;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nombre de RAPSS transmis;119;1;62;91.935483871;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nb de journées de prise en charge;974;2;677;43.870014771;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Dont nombre de journées prise en charge en EHPAD;744;3;505;47.326732673;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Dont nombre de journées prise en charge en EMS hors EHPAD;5;4;59;-91.52542373;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Dont nombre de journées prise en charge en ES;0;5;2;-100;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Dont nombre de journées prise en charge en SSIAD/SPASAD;225;6;111;102.7027027;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nb de séquences terminées dans la période;114;7;60;90;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nb de séquences non terminées dans la période;5;8;2;150;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nb de séjours terminés dans la période;102;9;52;96.153846154;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nb de séjours non terminés dans la période;5;10;2;150;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nb de patients (1);95;11;51;86.274509804;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nb moyen de modes de prise en charge associés;1.025210084;12;1.0161290323;0.8936908097;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nb moyen de diagnostics (DCMPP, DCMPA, DA);2;13;2.5483870968;-21.51898734;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Durée moyenne des sous-séquences;8.1848739496;14;10.919354839;-25.04251331;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Durée moyenne des séquences terminées;9.3771929825;15;8.5166666667;10.104027191;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Durée moyenne des séjours terminés;10.401960784;16;9.5192307692;9.2731233908;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";Nb moyen de séjours par patient (1);1.1157894737;17;1.0784313725;3.4641148325;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;331;1;268;23.507462687;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de prise en charge;5837;2;4329;34.834834835;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge en EHPAD;1584;3;2111;-24.96447181;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge en EMS hors EHPAD;14;4;66;-78.78787879;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge en ES;0;5;0;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge en SSIAD/SPASAD;4239;6;2152;96.979553903;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de séquences terminées dans la période;151;7;129;17.054263566;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de séquences non terminées dans la période;14;8;14;0;2022.12;X800000523;26JAN23;11:33:47
