"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;nb;noligne;nb1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;14;1;17;-17.64705882;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de prise en charge;104;2;185;-43.78378378;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge en EHPAD;104;3;185;-43.78378378;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge en EMS hors EHPAD;0;4;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge en ES;0;5;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge en SSIAD/SPASAD;0;6;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de séquences terminées dans la période;11;7;11;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de séquences non terminées dans la période;1;8;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de séjours terminés dans la période;8;9;7;14.285714286;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de séjours non terminés dans la période;1;10;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de patients (1);8;11;7;14.285714286;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb moyen de modes de prise en charge associés;1.1428571429;12;1.1176470588;2.2556390977;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb moyen de diagnostics (DCMPP, DCMPA, DA);11.5;13;12.588235294;-8.644859813;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Durée moyenne des sous-séquences;7.4285714286;14;10.882352941;-31.73745174;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Durée moyenne des séquences terminées;9.1818181818;15;16.818181818;-45.40540541;2022.11;X020000022;27DEC22;13:05:07
