"champ";"statut";"annee";"periode";"date du resultat";"ipe";natass;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";10 : Maladie;249;98.418972332;5970;98.645076008;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";41 : Accident du;1;0.395256917;63;1.040978189;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";XX: séjours non facturables, en attente de droits ou pb de codage;3;1.185770751;19;0.313945803;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";10 : Maladie;435;99.542334096;10379;99.759707805;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";13 : Maladie Régime Local Alsace-Moselle;1;0.2288329519;4;0.0384467512;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";41 : Accident du;1;0.2288329519;21;0.2018454441;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:00";="800000523";10 : Maladie;1487;100;95791;100;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:06";="800000036";10 : Maladie;173;100;5266;100;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:02";="800000077";10 : Maladie;108;99.082568807;3901;98.959918823;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:02";="800000077";30 : Maternité;1;0.9174311927;41;1.0400811771;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";10 : Maladie;272;99.633699634;10250;99.970740271;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";30 : Maternité;1;0.3663003663;3;0.0292597289;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:29";="590782652";10 : Maladie;888;99.32885906;16690;98.60569538;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:29";="590782652";41 : Accident du;6;0.6711409396;236;1.3943046201;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";10 : Maladie;249;99.6;10269;97.042147042;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";41 : Accident du;1;0.4;313;2.9578529579;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:59";="800000085";10 : Maladie;193;100;7027;100;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:18";="590048476";10 : Maladie;1206;99.751861042;18738;99.866759047;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:18";="590048476";41 : Accident du;3;0.2481389578;25;0.1332409529;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";10 : Maladie;277;99.64028777;8985;99.911041921;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";13 : Maladie Régime Local Alsace-Moselle;1;0.3597122302;8;0.0889580785;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";10 : Maladie;2259;84.040178571;14164;60.889003525;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";13 : Maladie Régime Local Alsace-Moselle;1;0.037202381;21;0.0902759866;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";30 : Maternité;394;14.657738095;8702;37.408649299;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";41 : Accident du;1;0.037202381;10;0.042988565;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";XX: séjours non facturables, en attente de droits ou pb de codage;33;1.2276785714;365;1.569082624;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:49";="600100721";10 : Maladie;309;100;7628;100;2022.12;X600100721;13FEB23;16:00:35
