"champ";"statut";"annee";"periode";"date du resultat";"ipe";natass;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";10 : Maladie;230;99.567099567;9552;97.132397804;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";41 : Accident du;1;0.4329004329;282;2.8676021965;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:28";="590048476";10 : Maladie;1109;99.730215827;17143;99.854380242;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:28";="590048476";41 : Accident du;3;0.2697841727;25;0.1456197577;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";10 : Maladie;2047;83.653453208;12998;60.721293095;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";13 : Maladie Régime Local Alsace-Moselle;1;0.040866367;21;0.0981033355;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";30 : Maternité;369;15.079689416;8061;37.657666075;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";XX: séjours non facturables, en attente de droits ou pb de codage;30;1.2259910094;326;1.5229374942;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";10 : Maladie;815;99.269183922;15231;98.531504722;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";41 : Accident du;6;0.730816078;227;1.4684952775;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:27";="600100713";10 : Maladie;391;99.744897959;9751;99.785100287;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:27";="600100713";41 : Accident du;1;0.2551020408;21;0.2148997135;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";10 : Maladie;283;100;7011;100;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";10 : Maladie;257;99.612403101;8164;99.963266805;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";13 : Maladie Régime Local Alsace-Moselle;1;0.3875968992;3;0.0367331946;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:17";="800000036";10 : Maladie;163;100;4851;100;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";10 : Maladie;252;99.604743083;9320;99.967821517;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";30 : Maternité;1;0.395256917;3;0.0321784833;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";10 : Maladie;99;99;3540;98.855068417;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";30 : Maternité;1;1;41;1.1449315834;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:27";="800000085";10 : Maladie;174;100;6512;100;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";10 : Maladie;224;96.96969697;5389;98.321474184;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";41 : Accident du;1;0.4329004329;63;1.1494252874;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";XX: séjours non facturables, en attente de droits ou pb de codage;6;2.5974025974;29;0.5291005291;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";10 : Maladie;1384;100;88476;100;2022.11;X800000523;22DEC22;10:53:02
