"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib_tab;ref_tab;nb_sej;nb_seq;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Synthèse des erreurs de la fonction groupage;[1.Q.1.EG];13;16;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Groupage GHPC ou GHT en erreur;[1.Q.1.GERR];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Groupage GHPC ou GHT différent  de celui de PAPRICA;[1.Q.1.RDG];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incohérence entre mode d'entrée/provenance et le MPP ou le MPA;[1.Q.2.MEMP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Code géographique erroné ou imprécis;[1.Q.3.CGI];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de séquences avec un MPA renseigné et aucun DCMPA;[1.Q.4.ABSDCMPA];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec aucun DCMPA compatible avec le MPA;[1.Q.4.DCMPAPCP];1;1;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec un code CIM10 imprécis en DCMPP;[1.Q.4.DCMPPI];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec un code CIM10 imprécis en DP;[1.Q.4.DPI];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec un DP redondant avec le MPP;[1.Q.4.DPRMP];1;1;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité âge / DA;[1.Q.4.IADA];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS  avec incompatibilité âge / DCMPA;[1.Q.4.IADCMPA];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité entre DCMPP et âge;[1.Q.4.IADCMPP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité entre DP et âge;[1.Q.4.IADP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité DP / MPP;[1.Q.4.IDPMP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec improbabilité DP / NDS;[1.Q.4.IDPNDS];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité sexe / DA;[1.Q.4.ISDA];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité sexe / DCMPA;[1.Q.4.ISDCMPA];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité entre DCMPP et sexe;[1.Q.4.ISDCMPP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité entre DP et sexe;[1.Q.4.ISDP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Séquences avec MP 04 x 07 sans acte traduisant l'utilisation d'un injecteur programmable;[1.Q.5.S0407SA];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de séquences avec un MP 18 'Transfusion sanguine' et aucun acte de transfusion;[1.Q.5.SSA];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Chaînage - codes retour;[1.Q.6.CHCR];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Synthèse de la procédure;[1.Q.6.CHSP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";RAPSS avec séquencement en erreur;[1.Q.7.SCS];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de séquences avec association MPPxMPA non autorisée;[1.Q.8.ANA];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité MP/ âge;[1.Q.8.IAMP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec improbabilité MP/ NDS;[1.Q.8.INMP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incompatibilité MP/ sexe;[1.Q.8.ISMP];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de séjours avec décès et une valeur d'IK atypique;[1.Q.9.IKI];4;4;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de séquences avec IK^=100 pour MPP22;[1.Q.9.IKNN];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de séquences avec IK supérieur au seuil maximal défini pour MPPxMPA;[1.Q.9.IKS];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Bilan sur les conventions HAD-ESMS;[1.Q.10.CONV];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";Nombre de RAPSS avec incohérence sur le Finess ESMS / type domicile;[1.Q.10.ESMS];0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:58";="590048476";Synthèse des erreurs de la fonction groupage;[1.Q.1.EG];411;559;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:58";="590048476";Groupage GHPC ou GHT en erreur;[1.Q.1.GERR];1;1;2022.11;X590048476;30DEC22;15:37:12
