"champ";"statut";"annee";"periode";"date du resultat";"ipe";lig;eff;nbj;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb de séjours;231;9834;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séjours avec plus d'une séquence;83;5664;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séjours avec plus d'une sous séquence;148;9256;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb de séquences;477;9834;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séquences avec plus d'une sous séquence;176;7889;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séjours avec sexe inconstant;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séjours avec mode d'entrée-provenance inconstant (signalement);0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séjours avec mode de sortie-destination inconstant (signalement);0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séjours avec durée de séjour inconstante;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séquences avec mode de prise en charge principal inconstant;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séquences avec mode de prise en charge associé inconstant;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séquences avec indice de Karnofsky inconstant;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séquences avec durée de séquence inconstante;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séquences avec score de dépendance aux activités de la vie quotidienne insconstant;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séjours avec incohérence entre une date de fin de séquence et la date de début de séquence suivante;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des séquences;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des sous séquences;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séquences avec incohérence entre une date de fin de sous séquence et la date de début de sous séquence suivante;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";Nb séquences avec incohérence entre la durée de séquences et la somme des durées des sous séquences;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb de séjours;1112;17168;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séjours avec plus d'une séquence;244;6401;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séjours avec plus d'une sous séquence;473;13535;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb de séquences;1451;17168;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séquences avec plus d'une sous séquence;367;11210;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séjours avec sexe inconstant;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séjours avec mode d'entrée-provenance inconstant (signalement);0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séjours avec mode de sortie-destination inconstant (signalement);0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séjours avec durée de séjour inconstante;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séquences avec mode de prise en charge principal inconstant;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séquences avec mode de prise en charge associé inconstant;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séquences avec indice de Karnofsky inconstant;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séquences avec durée de séquence inconstante;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séquences avec score de dépendance aux activités de la vie quotidienne insconstant;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séjours avec incohérence entre une date de fin de séquence et la date de début de séquence suivante;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des séquences;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des sous séquences;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séquences avec incohérence entre une date de fin de sous séquence et la date de début de sous séquence suivante;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";Nb séquences avec incohérence entre la durée de séquences et la somme des durées des sous séquences;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb de séjours;2455;21473;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séjours avec plus d'une séquence;237;7697;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séjours avec plus d'une sous séquence;424;12913;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb de séquences;2766;21473;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séquences avec plus d'une sous séquence;317;9308;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séjours avec sexe inconstant;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séjours avec mode d'entrée-provenance inconstant (signalement);0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séjours avec mode de sortie-destination inconstant (signalement);0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séjours avec durée de séjour inconstante;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séquences avec mode de prise en charge principal inconstant;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séquences avec mode de prise en charge associé inconstant;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séquences avec indice de Karnofsky inconstant;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séquences avec durée de séquence inconstante;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séquences avec score de dépendance aux activités de la vie quotidienne insconstant;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séjours avec incohérence entre une date de fin de séquence et la date de début de séquence suivante;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des séquences;7;57;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des sous séquences;7;187;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séquences avec incohérence entre une date de fin de sous séquence et la date de début de sous séquence suivante;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:38";="590780193";Nb séquences avec incohérence entre la durée de séquences et la somme des durées des sous séquences;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:33";="590782652";Nb de séjours;821;15458;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:33";="590782652";Nb séjours avec plus d'une séquence;325;11576;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:33";="590782652";Nb séjours avec plus d'une sous séquence;401;13489;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:33";="590782652";Nb de séquences;1469;15458;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:33";="590782652";Nb séquences avec plus d'une sous séquence;352;9200;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:33";="590782652";Nb séjours avec sexe inconstant;0;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:33";="590782652";Nb séjours avec mode d'entrée-provenance inconstant (signalement);0;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:33";="590782652";Nb séjours avec mode de sortie-destination inconstant (signalement);0;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:33";="590782652";Nb séjours avec durée de séjour inconstante;0;0;2022.11;X590782652;29DEC22;12:11:02
