"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;noligne;nb;nb1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS (hors GHT 99);1;775;727;6.6024759285;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de prise en charge;2;9834;10195;-3.540951447;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge au domicile du patient;3;8472;9597;-11.72241325;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge en ESMS;4;104;185;-43.78378378;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge en EHPAD;5;104;185;-43.78378378;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge en EMS hors EHPAD;6;0;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge en ES;7;0;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Dont nombre de journées prise en charge en SSIAD/SPASAD;8;0;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de séquences terminées dans la période;9;451;418;7.8947368421;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de séquences non terminées dans la période;10;26;21;23.80952381;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de séjours terminés dans la période;11;205;202;1.4851485149;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de séjours non terminés dans la période;12;26;23;13.043478261;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de patients (1);13;144;147;-2.040816327;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb moyen de modes de prise en charge associés;14;1.4929032258;1.4979367263;-0.336028911;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb moyen de diagnostics (DCMPP, DCMPA, DA);15;12.166451613;10.96698762;10.937041547;2022.11;X020000022;27DEC22;13:05:07
