"champ";"statut";"annee";"periode";"date du resultat";"ipe";sej_fact;mam0;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;230;99.567099567;9833;99.989831198;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;1;0.4329004329;1;0.0101688021;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:28";="590048476";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;1107;99.550359712;17163;99.970876048;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:28";="590048476";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;5;0.4496402878;5;0.0291239515;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;39;1.5937883122;604;2.8216387929;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;2382;97.343686146;19957;93.23086985;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;24;0.9807928075;778;3.6344950014;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM non numérique ou à 0;1;0.040866367;45;0.2102214332;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";3 En attente de décision sur les droits du patient;montant remboursé par l'AM non numérique ou à 0;1;0.040866367;22;0.1027749229;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;819;99.756394641;15456;99.987061716;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;2;0.2436053593;2;0.0129382844;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:27";="600100713";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;388;98.979591837;9724;99.508800655;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:27";="600100713";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;4;1.0204081633;48;0.4911993451;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;283;100;7011;100;2022.11;X600100721;02JAN23;9:22:25
