"champ";"statut";"annee";"periode";"date du resultat";"ipe";exotm;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";0 : Pas d'exonération;78;30.830039526;1236;20.423000661;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";3 : Soins particuliers exonérés;4;1.581027668;90;1.4871116986;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";4 : Soins conformes au protocole ALD;136;53.754940711;3815;63.037012558;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";5 : Assuré ou bénéficiaire exonéré (régime exonérant);32;12.648221344;892;14.73892928;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";X: séjours non facturables, en attente de droits ou pb de codage;3;1.185770751;19;0.313945803;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";0 : Pas d'exonération;34;7.7803203661;954;9.169550173;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";1 : Soins en rapport avec K>60 ou montant>120¤;1;0.2288329519;15;0.1441753172;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";2 : Soins relatifs à un séjour > 30 jours;2;0.4576659039;33;0.3171856978;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";4 : Soins conformes au protocole ALD;347;79.405034325;7895;75.884275279;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";5 : Assuré ou bénéficiaire exonéré (régime exonérant);53;12.128146453;1507;14.484813533;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:00";="800000523";1 : Soins en rapport avec K>60 ou montant>120¤;2;0.1344989913;361;0.3768621269;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:00";="800000523";2 : Soins relatifs à un séjour > 30 jours;12;0.8069939475;950;0.9917424393;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:00";="800000523";4 : Soins conformes au protocole ALD;1472;98.991257566;94478;98.629307555;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:00";="800000523";8 : Réservé Régime Général;1;0.0672494956;2;0.0020878788;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:06";="800000036";0 : Pas d'exonération;18;10.404624277;182;3.4561336878;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:06";="800000036";1 : Soins en rapport avec K>60 ou montant>120¤;1;0.5780346821;35;0.6646410938;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:06";="800000036";2 : Soins relatifs à un séjour > 30 jours;4;2.3121387283;35;0.6646410938;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:06";="800000036";4 : Soins conformes au protocole ALD;136;78.612716763;4599;87.333839727;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:06";="800000036";5 : Assuré ou bénéficiaire exonéré (régime exonérant);14;8.0924855491;415;7.880744398;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:01";="800000077";0 : Pas d'exonération;18;16.513761468;393;9.9695585997;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:01";="800000077";1 : Soins en rapport avec K>60 ou montant>120¤;1;0.9174311927;2;0.0507356672;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:01";="800000077";2 : Soins relatifs à un séjour > 30 jours;2;1.8348623853;38;0.9639776763;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:01";="800000077";4 : Soins conformes au protocole ALD;67;61.467889908;2594;65.804160325;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:01";="800000077";5 : Assuré ou bénéficiaire exonéré (régime exonérant);21;19.266055046;915;23.211567732;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";0 : Pas d'exonération;32;11.721611722;1285;12.532917195;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";2 : Soins relatifs à un séjour > 30 jours;8;2.9304029304;464;4.5255047303;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";3 : Soins particuliers exonérés;11;4.0293040293;82;0.7997659222;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";4 : Soins conformes au protocole ALD;192;70.32967033;7446;72.62264703;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";5 : Assuré ou bénéficiaire exonéré (régime exonérant);27;9.8901098901;930;9.0705159466;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;3;1.0989010989;46;0.4486491759;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";0 : Pas d'exonération;54;6.0402684564;745;4.401512466;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";1 : Soins en rapport avec K>60 ou montant>120¤;52;5.8165548098;841;4.9686872268;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";2 : Soins relatifs à un séjour > 30 jours;22;2.4608501119;1110;6.5579581709;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";4 : Soins conformes au protocole ALD;758;84.787472036;14046;82.984757178;2022.12;X590782652;30JAN23;11:42:15
