"champ";"statut";"annee";"periode";"date du resultat";"ipe";exotm;natass;sej_fact;tremb;taux;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:04";="800000093";0 : Pas d'exonération;41 : Accident du;1 Séjour facturable à l'AM;100;100;1;0.4;63;1.0442565888;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:04";="800000093";3 : Soins particuliers exonérés;10 : Maladie;1 Séjour facturable à l'AM;100;100;4;1.6;90;1.4917951268;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:04";="800000093";4 : Soins conformes au protocole ALD;10 : Maladie;1 Séjour facturable à l'AM;100;100;136;54.4;3815;63.235537875;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:04";="800000093";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;1 Séjour facturable à l'AM;100;100;32;12.8;892;14.785347257;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:04";="800000093";0 : Pas d'exonération;10 : Maladie;1 Séjour facturable à l'AM;80;80;73;29.2;1129;18.713741091;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:04";="800000093";0 : Pas d'exonération;10 : Maladie;2 En attente de décision sur le taux de prise en charge du patient;80;80;4;1.6;44;0.729322062;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";0 : Pas d'exonération;41 : Accident du;1 Séjour facturable à l'AM;100;100;1;0.2421307506;21;0.2047182687;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;1 Séjour facturable à l'AM;100;100;1;0.2421307506;15;0.1462273348;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";4 : Soins conformes au protocole ALD;10 : Maladie;1 Séjour facturable à l'AM;100;100;327;79.176755448;7771;75.755507896;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";4 : Soins conformes au protocole ALD;13 : Maladie Régime Local Alsace-Moselle;1 Séjour facturable à l'AM;100;100;1;0.2421307506;4;0.0389939559;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;1 Séjour facturable à l'AM;100;100;50;12.10653753;1486;14.486254631;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";0 : Pas d'exonération;10 : Maladie;1 Séjour facturable à l'AM;80;80;31;7.5060532688;928;9.0465977773;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;1 Séjour facturable à l'AM;80;100;2;0.4842615012;33;0.3217001365;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:30";="800000523";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;1 Séjour facturable à l'AM;100;100;2;0.1344989913;361;0.3768621269;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:30";="800000523";4 : Soins conformes au protocole ALD;10 : Maladie;1 Séjour facturable à l'AM;100;100;1472;98.991257566;94478;98.629307555;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:30";="800000523";8 : Réservé Régime Général;10 : Maladie;1 Séjour facturable à l'AM;100;100;1;0.0672494956;2;0.0020878788;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:30";="800000523";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;1 Séjour facturable à l'AM;80;100;12;0.8069939475;950;0.9917424393;2022.12;X800000523;26JAN23;11:33:47
